"Latest: Time (s)","Latest: Radiation (Counts)"
10,1364
20,1333
30,1243
40,1163
50,1204
60,1126
70,1053
80,1066
90,986
100,908
110,881
120,884
130,784
140,773
150,713
160,710
170,694
180,628
190,630
200,570
210,532
220,589
230,546
240,476
250,472
260,463
270,480
280,420
290,410
300,385
310,367
320,370
330,323
340,346
350,303
360,294
370,290
380,286
390,247
400,257
410,229
420,240
430,239
440,221
450,197
460,215
470,177
480,167
490,164
500,173
510,155
520,162
530,150
540,122
550,132
560,118
570,132
580,132
590,110
600,112
610,119
620,132
630,79
640,85
650,76
660,92
670,71
680,86
690,80
700,69
710,60
720,60
730,56
740,55
750,64
760,49
770,50
780,46
790,49
800,55
810,55
820,47
830,39
840,41
850,36
860,33
870,34
880,29
890,31
900,28
910,21
920,34
930,26
940,33
950,19
960,23
970,23
980,23
990,19
1000,24
1010,21
1020,14
1030,8
1040,22
1050,20
1060,16
1070,17
1080,7
1090,15
1100,16
1110,11
1120,12
1130,14
1140,14
1150,13
1160,9
1170,3
1180,14
1190,6
1200,6
1210,5
1220,3
1230,11
1240,11
1250,8
1260,4
1270,7
1280,4
1290,8
1300,7
1310,6
1320,5
1330,4
1340,6
1350,4
1360,4
1370,2
1380,7
1390,2
1400,7
1410,3
1420,6
1430,3
1440,4
1450,2
1460,4
1470,2
1480,6
1490,1
1500,1
1510,4
1520,4
1530,2
1540,2
1550,1
1560,1
1570,1
1580,2
1590,0
1600,0
1610,4
1620,2
1630,5
1640,2
1650,3
1660,1
1670,2
1680,2
1690,1
1700,0
1710,0
1720,1
1730,1
1740,2
1750,2
1760,2
1770,2
1780,2
1790,1
1800,2
